user_id, user_name, user_email, user_password, user_address, is_vendor
1,vendor_1,vendor_1@example.com,default_vendor1,,1
2,vendor_2,vendor_2@example.com,default_vendor2,,1
3,vendor_3,vendor_3@example.com,default_vendor3,,1
4,vendor_4,vendor_4@example.com,default_vendor4,,1
5,vendor_5,vendor_5@example.com,default_vendor5,,1
6,admin,admin@example.com,admin,"790,Kozey Meadow Apt",0
7,user_1,user_1@example.com,default_user1,"8589,Miller Centers Leannonmouth",0
8,user_2,user_2@example.com,default_user2,"958, Gerry Estate New Eudora",0
9,user_3,user_3@example.com,default_user3,"Primary School Frontgate, Gotham",0
10,user_4,user_4@example.com,default_user4,"City Hospital, Gotham",0
11,user_5,user_5@example.com,default_user5,"15, Yemen Road, Yemen",0
12,user_6,user_6@example.com,default_user6,"Dunder mifflin, Scranton",0
13,user_7,user_7@example.com,default_user7,"Primary School Frontgate Gotham",0
14,user_8,user_8@example.com,default_user8,"99th Precinct, Brooklyn",0
15,user_9,user_9@example.com,default_user9,"Head office GreatLearning, Girgaon",0
